City,Lat in Southern Hemisph,Lng in Southern Hemisph
Punta Arenas,-53.15,-70.92
Mataura,-46.19,168.86
Bambous Virieux,-20.34,57.76
Varzea Grande,-15.65,-56.13
Mazagao,-0.12,-51.29
Kavieng,-2.57,150.8
Port Alfred,-33.59,26.89
Busselton,-33.65,115.33
Avarua,-21.21,-159.78
Mount Gambier,-37.83,140.77
Rikitea,-23.12,-134.97
Puerto Ayora,-0.74,-90.35
Esperance,-33.87,121.9
Saint-Philippe,-21.36,55.77
Kempsey,-31.08,152.83
Atuona,-9.8,-139.03
Manokwari,-0.87,134.08
Sao Joao da Barra,-21.64,-41.05
Arraial do Cabo,-22.97,-42.03
Bluff,-46.6,168.33
Hithadhoo,-0.6,73.08
Ushuaia,-54.8,-68.3
Cidreira,-30.18,-50.21
Airai,-8.93,125.41
Kiunga,-6.12,141.29
Luganville,-15.53,167.17
Vaini,-21.2,-175.2
Castro,-24.79,-50.01
Hervey Bay,-25.3,152.85
Chicama,-7.84,-79.15
Geraldton,-28.77,114.6
Victor Harbor,-35.57,138.62
Samarai,-10.62,150.67
Chui,-33.7,-53.46
Bredasdorp,-34.53,20.04
Cape Town,-33.93,18.42
Vicuna,-30.03,-70.71
Saint-Joseph,-21.37,55.62
Codrington,-38.27,141.97
Teluknaga,-6.1,106.64
Port Elizabeth,-33.92,25.57
New Norfolk,-42.78,147.06
Vila Velha,-20.33,-40.29
Lorengau,-2.02,147.27
Itacoatiara,-3.14,-58.44
Mount Isa,-20.73,139.5
Poum,-20.23,164.02
Waipawa,-41.41,175.52
Mapiri,-15.25,-68.17
Sungaipenuh,-2.08,101.38
Hermanus,-34.42,19.23
Booue,-0.09,11.94
Ahipara,-35.17,173.17
Mar del Plata,-38.0,-57.56
Isangel,-19.55,169.27
Souillac,-20.52,57.52
Auki,-8.77,160.7
Lebu,-37.62,-73.65
Carnarvon,-24.87,113.63
Katherine,-14.47,132.27
Dunedin,-45.87,170.5
Wallacetown,-46.33,168.27
Atlantis,-33.57,18.48
Luderitz,-26.65,15.16
Alofi,-19.06,-169.92
Innisfail,-17.53,146.03
Grand Gaube,-20.01,57.66
Lufilufi,-13.87,-171.6
Constitucion,-35.33,-72.42
Kaitangata,-46.28,169.85
Salta,-24.79,-65.41
Kununurra,-15.77,128.73
Saint-Pierre,-21.34,55.48
Kasongo-Lunda,-6.47,16.82
Bengkulu,-3.8,102.27
Hobart,-42.88,147.33
Tuatapere,-46.13,167.68
Valparaiso,-33.04,-71.63
Port Lincoln,-34.73,135.87
Pisco,-13.7,-76.22
Touros,-5.2,-35.46
Middelburg,-25.78,29.46
Luebo,-5.35,21.42
Boende,-0.22,20.87
Vao,-22.67,167.48
Puerto Maldonado,-12.6,-69.18
Broken Hill,-31.95,141.43
Moerai,-22.43,-151.33
Grand Baie,-20.02,57.58
Kiama,-34.68,150.87
