,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Punta Arenas,40,CL,1578890000,81,-53.15,-70.92,53.6,4.7
5,Mataura,18,NZ,1578890008,57,-46.19,168.86,57.99,11.99
6,Bambous Virieux,75,MU,1578890011,94,-20.34,57.76,81.0,6.93
10,Varzea Grande,40,BR,1578890019,83,-15.65,-56.13,80.6,5.55
14,Mazagao,40,BR,1578890027,100,-0.12,-51.29,77.0,2.24
15,Kavieng,100,PG,1578890030,73,-2.57,150.8,84.07,14.56
18,Port Alfred,19,ZA,1578890036,97,-33.59,26.89,72.0,5.12
21,Busselton,0,AU,1578889753,18,-33.65,115.33,86.0,7.52
22,Avarua,29,CK,1578890044,83,-21.21,-159.78,78.8,14.99
23,Mount Gambier,0,AU,1578889844,30,-37.83,140.77,84.2,21.92
24,Rikitea,80,PF,1578890048,82,-23.12,-134.97,76.6,15.66
26,Puerto Ayora,66,EC,1578890053,82,-0.74,-90.35,77.0,5.01
27,Esperance,90,AU,1578890055,60,-33.87,121.9,69.8,16.11
29,Saint-Philippe,34,RE,1578890059,69,-21.36,55.77,84.0,4.7
30,Kempsey,76,AU,1578889872,33,-31.08,152.83,82.99,3.0
31,Atuona,1,PF,1578890063,77,-9.8,-139.03,81.21,15.41
35,Manokwari,100,ID,1578890071,98,-0.87,134.08,72.39,8.46
36,Sao Joao da Barra,100,BR,1578890073,94,-21.64,-41.05,74.95,6.17
37,Arraial do Cabo,99,BR,1578889947,87,-22.97,-42.03,77.85,18.21
39,Bluff,0,NZ,1578890080,57,-46.6,168.33,57.99,11.99
41,Hithadhoo,100,MV,1578890084,78,-0.6,73.08,81.55,12.53
42,Ushuaia,75,AR,1578890086,87,-54.8,-68.3,50.0,5.82
46,Cidreira,65,BR,1578890094,76,-30.18,-50.21,74.25,7.31
48,Airai,100,TL,1578890098,85,-8.93,125.41,72.84,2.57
67,Kiunga,96,PG,1578890138,96,-6.12,141.29,80.31,2.35
69,Luganville,90,VU,1578890142,83,-15.53,167.17,80.6,2.24
71,Vaini,75,TO,1578890146,88,-21.2,-175.2,80.6,8.05
73,Castro,100,BR,1578890150,98,-24.79,-50.01,62.51,4.9
75,Hervey Bay,75,AU,1578890154,55,-25.3,152.85,86.0,21.92
77,Chicama,75,PE,1578890159,94,-7.84,-79.15,68.0,9.17
83,Geraldton,0,AU,1578890171,48,-28.77,114.6,82.4,20.8
84,Victor Harbor,0,AU,1578890173,32,-35.57,138.62,93.99,10.29
85,Samarai,99,PG,1578890176,89,-10.62,150.67,77.02,2.84
88,Chui,0,UY,1578890182,70,-33.7,-53.46,61.43,5.5
94,Bredasdorp,7,ZA,1578890194,84,-34.53,20.04,69.01,8.01
95,Cape Town,6,ZA,1578890013,93,-33.93,18.42,68.0,8.05
99,Vicuna,0,CL,1578890205,87,-30.03,-70.71,60.01,3.36
103,Saint-Joseph,50,RE,1578890213,69,-21.37,55.62,84.0,4.7
104,Codrington,0,AU,1578890215,74,-38.27,141.97,64.65,18.63
111,Teluknaga,75,ID,1578889949,78,-6.1,106.64,91.99,10.29
112,Port Elizabeth,75,ZA,1578890232,88,-33.92,25.57,71.6,6.93
113,New Norfolk,20,AU,1578890234,17,-42.78,147.06,91.99,13.87
118,Vila Velha,75,BR,1578890245,83,-20.33,-40.29,80.01,1.12
122,Lorengau,100,PG,1578890253,76,-2.02,147.27,84.13,17.76
124,Itacoatiara,78,BR,1578890257,97,-3.14,-58.44,73.18,1.03
129,Mount Isa,40,AU,1578890268,19,-20.73,139.5,104.0,8.05
132,Poum,53,NC,1578890274,77,-20.23,164.02,80.24,24.83
133,Waipawa,98,NZ,1578890276,77,-41.41,175.52,61.0,16.11
136,Mapiri,100,BO,1578890282,99,-15.25,-68.17,67.1,0.58
140,Sungaipenuh,93,ID,1578890291,70,-2.08,101.38,74.8,2.64
141,Hermanus,0,ZA,1578890293,85,-34.42,19.23,69.01,17.2
142,Booue,11,GA,1578890295,92,-0.09,11.94,72.41,1.14
145,Ahipara,67,NZ,1578890301,75,-35.17,173.17,66.74,12.55
146,Mar del Plata,0,AR,1578890207,82,-38.0,-57.56,62.01,8.25
147,Isangel,75,VU,1578890305,74,-19.55,169.27,84.2,11.41
149,Souillac,75,MU,1578890309,94,-20.52,57.52,81.0,6.93
150,Auki,97,SB,1578890312,79,-8.77,160.7,84.31,20.36
152,Lebu,77,CL,1578890316,87,-37.62,-73.65,57.85,8.14
154,Carnarvon,10,AU,1578890320,55,-24.87,113.63,86.0,23.04
158,Katherine,83,AU,1578890328,39,-14.47,132.27,95.0,4.7
160,Dunedin,1,NZ,1578890332,54,-45.87,170.5,60.01,8.99
161,Wallacetown,0,NZ,1578890334,57,-46.33,168.27,57.99,11.99
166,Atlantis,0,ZA,1578890345,93,-33.57,18.48,68.0,8.05
168,Luderitz,1,NA,1578890349,88,-26.65,15.16,64.11,23.11
172,Alofi,100,NU,1578890357,78,-19.06,-169.92,82.4,10.29
176,Innisfail,97,AU,1578890366,50,-17.53,146.03,88.0,8.99
178,Grand Gaube,75,MU,1578890370,94,-20.01,57.66,81.0,6.93
180,Lufilufi,75,WS,1578890374,78,-13.87,-171.6,82.4,4.7
181,Constitucion,92,CL,1578890376,95,-35.33,-72.42,55.51,9.22
186,Kaitangata,0,NZ,1578890386,70,-46.28,169.85,52.43,21.34
189,Salta,75,AR,1578890258,88,-24.79,-65.41,69.8,3.0
192,Kununurra,40,AU,1578890399,44,-15.77,128.73,96.8,8.05
195,Saint-Pierre,50,RE,1578890405,69,-21.34,55.48,84.0,4.7
200,Kasongo-Lunda,25,CD,1578890415,85,-6.47,16.82,69.87,0.34
203,Bengkulu,88,ID,1578890422,64,-3.8,102.27,85.48,7.25
206,Hobart,20,AU,1578890418,17,-42.88,147.33,86.0,13.87
207,Tuatapere,30,NZ,1578890430,55,-46.13,167.68,57.99,10.0
208,Valparaiso,5,CL,1578890432,93,-33.04,-71.63,57.2,4.12
212,Port Lincoln,0,AU,1578890440,44,-34.73,135.87,79.56,11.68
213,Pisco,92,PE,1578890442,88,-13.7,-76.22,69.01,13.87
220,Touros,40,BR,1578890457,88,-5.2,-35.46,75.2,3.36
231,Middelburg,37,ZA,1578890480,83,-25.78,29.46,65.3,10.22
233,Luebo,12,CD,1578890484,78,-5.35,21.42,73.83,0.72
236,Boende,81,CD,1578890490,73,-0.22,20.87,74.7,2.08
238,Vao,91,NC,1578890495,80,-22.67,167.48,77.9,21.47
239,Puerto Maldonado,100,PE,1578890497,95,-12.6,-69.18,75.54,2.13
240,Broken Hill,0,AU,1578890499,13,-31.95,141.43,91.4,5.82
242,Moerai,84,PF,1578890503,83,-22.43,-151.33,77.76,15.41
259,Grand Baie,75,MU,1578890539,94,-20.02,57.58,81.0,6.93
260,Kiama,47,AU,1578890541,50,-34.68,150.87,75.2,12.75
261,Kwakoa,74,TZ,1578890543,57,-3.77,37.72,78.64,5.26
263,Ancud,0,CL,1578890547,76,-41.87,-73.82,55.4,4.7
265,Villazon,100,BO,1578890551,77,-22.09,-65.59,50.9,15.82
279,Roebourne,89,AU,1578890580,44,-20.78,117.13,97.68,22.48
284,Tambun,40,ID,1578890591,74,-6.26,107.07,93.0,12.75
285,Faanui,100,PF,1578890593,78,-16.48,-151.75,80.67,11.59
288,Chimbote,59,PE,1578890599,80,-9.09,-78.58,69.17,3.69
290,Japura,98,ID,1578890603,56,-0.32,102.35,88.39,3.83
293,Teahupoo,90,PF,1578890610,70,-17.83,-149.27,84.2,2.24
