,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hong Kong,40,HK,1578889926,60,22.29,114.16,73.99,8.05
1,Punta Arenas,40,CL,1578890000,81,-53.15,-70.92,53.6,4.7
2,Yellowknife,5,CA,1578890002,64,62.46,-114.35,-41.8,4.7
3,Thompson,90,CA,1578890004,84,55.74,-97.86,1.4,3.36
4,Rome,90,US,1578890006,92,43.21,-75.46,28.99,4.7
5,Mataura,18,NZ,1578890008,57,-46.19,168.86,57.99,11.99
6,Bambous Virieux,75,MU,1578890011,94,-20.34,57.76,81.0,6.93
7,Qaanaaq,0,GL,1578890013,68,77.48,-69.36,-15.7,2.28
8,Batagay-Alyta,96,RU,1578890015,80,67.8,130.41,-20.92,4.99
9,Ibra,0,OM,1578890017,41,22.69,58.53,63.84,9.48
10,Varzea Grande,40,BR,1578890019,83,-15.65,-56.13,80.6,5.55
11,Upernavik,83,GL,1578890021,72,72.79,-56.15,-10.75,11.52
12,Liverpool,17,GB,1578890023,86,53.41,-2.98,42.01,8.05
13,Caramay,100,PH,1578890025,62,10.18,119.24,82.0,4.16
14,Mazagao,40,BR,1578890027,100,-0.12,-51.29,77.0,2.24
15,Kavieng,100,PG,1578890030,73,-2.57,150.8,84.07,14.56
16,Mayo,1,US,1578890032,76,38.89,-76.51,51.01,6.93
17,Naze,75,JP,1578890034,55,28.37,129.48,62.6,13.87
18,Port Alfred,19,ZA,1578890036,97,-33.59,26.89,72.0,5.12
19,Riyadh,0,SA,1578889812,35,24.69,46.72,39.2,2.71
20,Ullal,12,IN,1578890040,69,12.8,74.85,77.0,6.93
21,Busselton,0,AU,1578889753,18,-33.65,115.33,86.0,7.52
22,Avarua,29,CK,1578890044,83,-21.21,-159.78,78.8,14.99
23,Mount Gambier,0,AU,1578889844,30,-37.83,140.77,84.2,21.92
24,Rikitea,80,PF,1578890048,82,-23.12,-134.97,76.6,15.66
25,Evensk,48,RU,1578890050,73,61.95,159.23,-19.14,10.4
